content,Date,Time,name,email,number
First time visiting Doha and to be honest it is not very good. There is chaos probably as a result of over- staffing. The staff members walk around arbitrarily opening and closing lines resulting in large masses of people being moving around aimlessly. The bus transfers are long. Much easier to transit through European airports. Duty free on the first floor is pretty nice and there is a smaller duty free shop on the second floor.,2021-09-28,04:04:20,Dhanush Shan,bjorktobias@swipnet.se,7447689826
Cardiff Airport has strengths and weaknesses. It is small so you can easily get from one area to another without too much difficulty. It has a pleasant Executive Lounge and a small range of shops. Retrieval of baggage is fairly painless and staff are fairly friendly. However the airport is still set in the 1960's and the major re-construction work to make it a 2000's generation airport has not taken place. The limited choice of flights the supporting services of bars restaurants and car park all create the impression of an airport with limited ambition and initiative. Earlier comments about drop off and pick up remain issues to a certain extent (the logic of having a security barrier at which you are simply waved through without any check seems a particularly useless feature).,2021-09-14,02:36:16,Birgitta Olsson,jnystrom@lind.com,07516 676524
For newly refurbished facility outwith peak season the queue just to get up to departures was huge. Once up there was a further queue to get to security. From entering the building it took 40 mins to get to security. No explanation from any staff. Embarrassed this is Scotland's prime airport.,2021-09-23,19:44:24,Mishti Varughese,clinke@cichorius.de,057-762 23 22
Small clean airport quick passport checks and the luggage was arriving quickly. It seems well maintained there is enough place to have a drink or have something to eat.,2021-09-30,13:30:51,Ing. Darius Hartung,stevendoering@yahoo.de,084-96 05 41
Not much in terms of Air activity. Probably the best attention I have ever got from airport staff maybe because not so many people go through. Staff were genuinely friendly and willing to offer help. Apart from the local crafts there is not much to buy from the duty free that you wouldn't find at your average African airport. Only 2 terminals,2021-09-17,10:17:34,Alisha Gera,anderssonsoren@palsson.com,00466841486
DOH-DXB: Arrived at a gate far away at terminal 1. Once in the hall the usual (regular traveller) chaos of Dubai ensued queues building up then lanes opened up with a mad dash of desperate travellers looking to beat the rush. Unfriendly immigration staff spending as much time talking to each other as actually serving travellers. The only sure way of beating the rush is to book the Marhaba meet and great service I'm suspicious they make immigration so bad that you are forced to use the Marhaba service!. A lovely 65 minutes in the queue then off to find the bags as they had been taken off the belt as normal.,2021-09-28,06:09:21,Olof Svensson,awernecke@pohl.com,+46 (0)716 422 00
An airport that serves only 6 International Air carriers (I think) - it is breezily functional. Cool and modern the Australian airports tend to resemble each other - with little character to differentiate from each other. The Cairns Airport does look a little too big for its purpose. Check- in was fast and efficient though as there was minimal queue if any at all. Everything was done with little fuss and was much appreciated. Airport is only about 15-20 minutes away from the City Centre/Esplanade via Airport Shuttle Bus.,2021-09-14,18:07:49,Ingrid Magnusson,anitaholm@yahoo.de,06657580483
"I flew in 4 times to this airport within the last 2 weeks, 3 arrivals and 1 departure. Flew in to Terminal 1 where all the other airlines land at. Now this is a review for Terminal 1. This greatly varies to Terminal 3, where all the Emirates flight flies into (which is the posher terminal). Absolutely amazed at how bad the condition of the terminal is, considering this is a main hub for tourists and that this is Dubai. My flight from Muscat to Dubai was only 45-50 minutes long however the queue at the immigration? 1 hour 10 minutes - longer than my flight. The immigration was jam packed. Regardless the day or the time! I flew in on a Thursday afternoon (4pm): Packed. I flew in on a Monday morning (11am): Packed. I flew back in on Wednesday (12am): Packed. Oh and not to mention, it was boiling! I don't know if the staff noticed just how packed it was, but they certainly did not notice just how the amount of people equals to more body heat. Considering that is is Dubai, they can honestly do better. Because of all these queuing, I have decided to only fly to Abu Dhabi whenever I need to get to UAE again (unless I'm flying via Emirates).",2021-09-11,23:56:22,Prof. Zehra Huhn B.Sc.,shayakbir@yahoo.com,+914245120028
I was flying Jet Airways to Mumbai to catch my flight to Munich with Lufthansa. Two officers checking the same document 2 times before you even check in with the airline. Another luggage scan to be performed before you check in your baggage. After check in you go through security. Men and women have separate lines. This is where I encountered the most incredibly rude security staff. Even Mumbai Airport staff were better than here. Just the attitude of that person ruined the whole impression about the place. I suggest the airport authorities should give some customer service training to these staff before they are put to work. Wi- fi did not work but rest of the staff was acceptable.,2021-10-08,01:30:03,Dipl.-Ing. Ewa Förster MBA.,madeleine95@sundberg.se,8423197018
A perfect introduction to all of the worst aspects of Bali. The new Bali airport is a shocker let's give credit where credit is due. It's clean has clean toilets and it's big and new that's it that's all that it currently has going for it. The worst things about the old Bali airport have moved across very comfortably to the new airport. Rude and arrogant immigration and customs officials. Deliberately lengthy immigration queues which always then have the option of paying extra to get through quickly. Ridiculously restrictive alcohol rules again so you can pay your way a round them. Endless hassling by porters. Then you end up in a beaten up taxi with a rude taxi driver charging you too much and taking too long. Basically an over priced rip off and a really ugly first impression of Indonesia and more sadly Bali. Whenever possible fly in through Jakarta.,2021-09-23,11:56:54,Bertil Olsson,truebgesa@kraushaar.com,08972824236
I live in Kampala and fly in and out of this airport regularly. It is a rather small and quiet airport clean and modern after the refurbishment. There is not much to do a few duty free shops (overpriced) craft shops and a restaurant. Check-in area can be very crowded especially for BA KLM and Emirate flights. For all other international flights it is sufficient to arrive at the airport 1 hour before departure. The best this airport has to offer is probably the lounge. Clean extremely comfy sofas big TV screens friendly service hot showers internet access and an electronic massage chair.,2021-10-10,08:48:32,Cecilia Ohlsson,karl75@eriksson.net,+46 (0)8 352 819 44
Massive construction underway but not (as yet) inconvenient to passengers. Flew out of DUB at peak time early Friday evening and the airport was functioning well,2021-09-17,20:52:31,Vaibhav Contractor,abramraju@anne-doshi.biz,3547611937
Cannot agree more that the prices of refreshments in Turkish airports are far too high and likely to leave a bad taste in any traveller's mouth!,2021-09-22,12:06:08,Per Ström,jesperandersson@gmail.com,+46 (0)8 368 694 43
Quite unbelievable. Flying in from Ho Chi Minh we thought 'this looks like a small airport'. Flying out was quite bizarre. The departure lounge is like a bus station waiting area - granny's curtains at the dirty windows and row after row of hard seats. One counter selling water and snacks. Another selling a few books. TV in the corner blaring away in Vietnamese. Smoking area is the corridor leading to the departure gate for Jetstar's flight to Hanoi. Unkempt and dirty they've obviously given up on the place. Ex-military and you really get the vibe it's for processing only. Thank goodness their new airport next door is almost finished.,2021-09-18,01:11:55,Aarush Ganguly,ulihesse@googlemail.com,04520219256
"SWhile the new Terminal 2 is spacious clean and well equipped check in-staff are not well trained. I came to the airport and they told me I should have had a hard copy ticket not an electronic ticket and there was nothing they could do about it. I insisted they try and resolve the problem. After waiting until all passengers were checked in I asked again for help. The girl begrudgingly said she'd go to the Main Office and took a French woman passenger with her with a similar problem but told me wait there. They were gone almost an hour and I asked for help from the remaining check in desk woman on duty. She told me she had nothing to do with ""my problem"" so my husband explained in Arabic and asked her politely for help. She was very rude and very angry I asked her for her name. She started screaming at me ""Are you the police? Are you a gendarme? I don't have to tell my name or badge number to anyone but the police."" She refused to call her supervisor and continued her contemptuous and rude treatment towards me yelling at me to go sit down. The police showed up and she calmed down. The other woman then arrived with the French woman she'd helped who also had only an electronic ticket but told me the same thing again ""We will put you on the plane to Lisbon and when you get there get your baggage and go find US Airways and ask them to straighten it out."" The police then escorted me to the plane which was late taking off which had inconvenienced all passengers. And all this problem because they claimed the computer systems don't communicate with Lisbon/US Airways. These employees need better training in customer service or they will run everyone off eventually.",2021-10-02,00:11:19,Hermann Eberth-Hentschel,editha68@yahoo.de,(05010) 86983
Other than having to travel between the aircraft and the terminal by bus I have no problems with Doha but my review is based on travelling business class but I've never had any serious problems when flying economy. The new airport should be open soon so its goodbye to the free tour of the airport by bus.,2021-09-25,10:46:05,Kashvi Talwar,jbeier@steinberg.org,08-453 347 47
Recently transited on Emirates flights. The problem seems to be the construction workings which are overwhelming the coach transfer from aircraft to terminal. On arrival our coach took around 20 mins to the terminal and departure slightly less to the aircraft Its just not acceptable for a modern international hub and I thought T3 was a modern terminal! Communications are also a problem we sat in a dated poorly finished departure lounge for almost 3 hours 2 of which were after being told there would be a 15 minute delay in boarding and then we discovered the information given to us was untrue.,2021-09-27,20:31:53,Helen Björklund,lkarlsson@malm.net,+49(0)1917 54363
I have used Copenhagen Airport hundreds of times and this airport has never disappointed. The design of Terminal 3 bright light spacious modern and yet cosy. The walk to/from gates can be a little long though. Staff is friendly and attentive and the transfer possibilities and facilities are excellent.,2021-09-23,07:34:57,Dr. Susanne Stiffel,christiane92@gmail.com,+49(0)2325 356503
It did not matter to me how big or new Indira Ghandi Airport was to me I was not impressed at all. The airport was a major disappointment to anyone using it. The attitude of the workers at the airport is horrible. Check-in workers will just throw your bags on to the belt in front of you. Immigration lines are ridiculous. Locals and foreigners are queuing up together. Locals were mostly cutting through the line and making the line so confusing and packed up that it did not look like a line. No one was there to control the line and immigration workers refused to do anything about it. There was just no system to it. I was glad to leave the airport.,2021-09-20,15:16:20,Jivika Gulati,vstumpf@haase.com,034-471 62 49
Just used Doha airport to and from Cebu. Airport is very clean plenty of comfortable seating and toilets. Did not use any of the eating facilities as stay was not long. Only criticism is the chaos getting through the transfer x-rays 2000+ people desperate to get through for flights which had announced last calls more staff stopping queue jumping would have helped.,2021-10-05,20:11:39,Isabel Gude,irmelaraedel@hecker.net,009-119 69 50
Very impressed with the layout services cleanliness and comfort of the Cancun airport - well done. It certainly makes for an even better vacation experience.,2021-09-17,04:00:55,Eva Lundberg,hardy90@schenk.org,+912652935436
Airport of Cebu is very laid back style. But it makes me feel more convenient than to go Manila airport. There are 4 international airlines to choose from - Cathay Silk Air Malaysia Airlines and Qatar airways. Its hassle free airport and when it comes to transportation lots of taxi outside the airport. And two big hotel near the airport - Waterfront Mactan hotel and Days hotel.,2021-10-09,12:29:29,Maj Magnusson,moniquekrebs@bloch.com,+49(0)9055792508
T3 International. Good clean layout fast immigration checks plenty of eating options and clean toilets. Not much more one can ask for international level airports. Overall a highly satisfying experience.,2021-10-01,21:35:35,Alia Deep,guptaivan@balan.com,05464106115
Checked in for my Qantas flight with Quickcheck which was very efficient. Then a short trip to the bag drop counter and we were on our way up the escalators to the gate lounge. Hardly anyone around and we were surprised that there weren't any kiosks or cafes to grab something at. However there was plenty of seating. I'm told that the Virgin area has a bit more activity as well as a cafe or two. You'd hope this little airport doesn't become a MEL or a SYD anytime soon.,2021-10-08,14:54:29,Dipl.-Ing. Marika Jäkel,uchana@hotmail.com,08719 57180
The previous comments are all spot on - but on rare days it can work like a dream. Returned from Aghios Gordios Friday Aug 10th at 11 pm for a 01:00am flight to East Midlands. Disembarked the minibus at 23:45 check in desk open luggage straight into scanners and through passport control by midnight and on the plane around 00:30 ready for take-off. Meanwhile passengers for other destinations were queuing as described though I spotted that new sheltered seating had been provided outside since I was last there. I dread to think what it could have been like had the visitor numbers not been so visibly down since my last visit. The local taverna owners all commented on it. I've come to expect to be patient waiting for luggage on the way into Corfu but much worse are the queues for departures when you're tired and a bit fed up at the thought of going home at all! The worst part of the trip was the flight home on the most uncomfortable plane I've ever been in. Corfu Airport is a lovely little airport and I have to agree it surely would work so much better if the holiday companies managed their collection of travellers from resorts with more regard for the airport's handling facilities and staggered their arrivals and departures better through the week.,2021-09-21,03:57:36,Karl Nordström,hbhatti@yahoo.com,+49(0)4940 31569
I have flown internationally many many times but only through San Francisco. This week my wife and I had to go through Chicago's O'Hare and it was horrible! For some reason the people that run the immigration and customs have decided to automate the process yet they still had bungling fools directing people and checking documents. The people checking documents who we assumed were immigration officers had no clue. The immigration people took our customs paperwork which are usually taken by the customs officers after you get your baggage. Several immigration officers had piles of them on their check-in desks. At immigration they make you go to a computer that scans your passport then takes your photo. If you are travelling with someone it takes theirs along with yours. We then get a major surprise: one officer is checking everyone's baggage all 300 of us from the flight from Germany! The line is very long and very slow. I can only imagine some older couple getting extremely stressed out by this process.,2021-09-11,15:43:51,Shanaya Kar,soodbadal@kamdar-shankar.com,+46 (0)8 865 525 77
Pretty poor airport but it does the important things ok. Food and drink wise there is a cafe/bar landside and some sort of Taverna outside but all you have airside is a smallish outlet serving sandwiches/pies and drinks (if you're lucky) and unbelievably doesn't accept cards of any type. Worse than that there is no allocated seating beyond a few small stands. Just to round things off the staff were rude and miserable. There is no cash machine airside nor is there a drinking fountain should you get thirsty and have no Euros. On top of that you are packed in with far too many people for the seating available. There are a couple of duty free shops. Thankfully there is air conditioning or it would be pretty unbearable. If you are a smoker then get your fix before you go through security if you have a long wait for your flight as there is no smoking anywhere. Note take no notice of your holiday rep telling you to queue outside. It'll be boiling hot and there is nothing to stop you waiting in the air conditioned terminal or going to the cafe upstairs. A pretty poor show for such a busy (at least in season) airport. Corfu is not some small little island that only sees a flight a day and it should have an airport that is appropriate to modern needs. Having said that Greece is really going through it at the moment so nothing much is going to change anytime soon. It won't bother me though I'm not going back to Corfu again. It's a tatty old place these days and there are far better places to spend your holidays.,2021-09-23,06:19:06,Marcus Ladeck,buchholzcosimo@aol.de,+912667333827
The biggest queue at Edinburgh Airport should be the one for the job centre as whoever made the decision on the new security hall needs to be fired almost 6 months later and there are still unacceptable details. You can of course pay for Fasttrak which really is false advertising. Come on team get it sorted or move over so someone can. Hate to think what it will be like in the summer.,2021-09-26,23:39:02,Gebhard Klemm,dattavardaniya@gmail.com,5051316141
CHA is a compact but efficient airport serving a metropolitan market of about 500000 residents. In the past it has suffered from proximity to major airports in Nashville and Atlanta but today 7 airlines service Chattanooga with a rather rapidly growing number of destinations. The airport is very clean with free Wi-Fi throughout and parking and security is superior. Low fare airlines have joined the legacy carriers so there is quite a nice selection of flights and fares. Sure saves time and headaches of leaving from larger airports.,2021-09-23,09:26:10,Elisabet Johansson,cathleen32@bolzmann.com,0906700533
Transited through Chicago en route to Delhia from Philadelphia. I had 8 hours between flights enroute to Delhi so popped into town by train for a walk. It was easy cheap and convenient to take the train downtown. On my way home had a 2 hour transit between flights from Delhi and onward to Philly. No problem. Passport contol customs and rechecking my bag went smoothly. Transit between T5 and T3 was easy on the Airport Transit System. Security was a bit slow but nothing unexpected. I was through everything an at my gate with an hour spare.,2021-10-07,12:34:21,Nitara Choudhury,okaran@gmail.com,5232163290
